company_id,company_name,raw_variants
afbfb16184e1b14168b76179f992614f,AI 药物研发平台,AI 药物研发平台）
dce659c4ea5855c441f5c8fc61bcbc0c,Allara,Allara（海外
9744b390a1beffbd77fce8dfb6213161,Arterys,Arterys（远程影像AI）
6013f2d1b3da4a9237e677b52350e0a8,Biotronik,Biotronik（外周支架）
563f5e4f9033365e50e1b59fe4b4e55a,BoldCare,BoldCare（海外
dde240605f10389f43be0fa51beb4459,Butterfly Network,Butterfly Network（掌上超声仪）
d89e3d7b65e43e62339694e1f81befe9,CGM 品类,CGM 品类）
fef2097566e007a45b27160dbad6ad72,Cerula Care,Cerula Care（海外
743e6b51a4afaa7da084d9dbda40f33e,Charco Neurotech,Charco Neurotech（CUE1神经调节设备）
ecf39461845cb8a6566fc71aac8ff1fa,ChatGeneT,ChatGeneT）
d03414085c13b1928e6d3dd6aada07d1,Complement 1,Complement 1（海外
61db47dac8aefe03fc67ee1b65ecd8f6,Coral,Coral（海外
166d1fa6d8ad5378b2622957fca17a7b,Daymark Health,Daymark Health（海外
0831beb3084156aee5b3646a045a1151,DeepMind,DeepMind（眼部疾病AI诊断）
264d9bb481d458fdda428e70a2bfe2dd,DeepSeek,DeepSeek（医疗大模型基础底座） | DeepSeek（通用开源模型）
1c54c724ed079f23fea9f2e66b7b5772,Dexcom,Dexcom（连续血糖监测系统）
d136a1b5f833dbbbac58061df6c83aa5,E 护通,E 护通（互联网 + 护理服务）
1ecb6941d8026d6818cdf2d4dc24afcd,Eargo,Eargo（智能助听设备）
8d7a8802e4838d350d1789575d0d3a0c,Eleos Health,Eleos Health（海外
c5c1de701fdd4680110c92a2bc684ef2,Enable Injections,Enable Injections（可穿戴给药设备enFuse）
6cdcb8b85b8f3ba7a93b735e8a9685d4,Epitel,Epitel（无线脑电图监测头戴设备）
286e97812c7768d9ff45cc955acea25a,Exscientia,Exscientia（AI药物设计平台）
605ab42dc70d13a48ea94df911eac87e,Fitbit,Fitbit（智能手环健康监测）
68462d853284baaf285533102f70a44a,GE医疗,GE医疗（AI-CT
7f0b51760800167e8ffee79ed3322fc9,Glytec,Glytec（AI胰岛素剂量推荐）
cb1aaf4e4d75eb990f5427a9fb3aac53,Hims & Hers,Hims & Hers（海外
d5b823ead0a073a058277fd2b4680ed5,Hims & Hers Health,Hims & Hers Health（DTC远程医疗与药品配送） | Hims & Hers Health（GLP-1减肥方案） | Hims & Hers Health（心理健康服务）
a4b4c67ae1462621c26a9b2dfa229392,Hinge Health,Hinge Health（海外
4aa69e538608c5f5accc198ea17b5122,Hone Health,Hone Health（海外
bba30c5260a5dbc099900ad5947c7914,Illumina,Illumina（基因测序仪）
ba4131c82a06bf08d543e59c37c0f08a,Inne,Inne（医药电商 B2C - 保健品销售）
0f292c01886e30a40584913668eeefb5,Itamar Medical,Itamar Medical（睡眠呼吸暂停监测设备WatchPAT）
f96a6a56cfd5d129d14169eb16831252,Little Otter,Little Otter（海外
80ebf0193c02cd25d62535b97360d968,MRI系统,MRI系统）
dd046500c4f1d05b3324aaa5ffe33351,Marble Health,Marble Health（海外
80fe12ac7cfdfa51d8322776a625dc60,Medplus AI,Medplus AI（AI 医疗应用）
3d3f85305a282886c2ed84460784547c,MyWay Digital Health,MyWay Digital Health（海外
ed2d0a6275c42ee650462439c2b212fd,Nest Health,Nest Health（海外
21e789dc711108c961a9b11d333f9c41,Neura Health,Neura Health（神经
2809151cf98a4790f01475d5aaf41318,Neuralink,Neuralink（海外）
7569bdc3f3a9eb27cfc2fcd6403be869,NeuroSigma,NeuroSigma（TNS神经调节疗法）
fc5ba9b49d3a83600442882ccdf13b85,Numan,Numan（海外
5e5a8a11fee6a7af7c4cab4c96d6039a,Omada Health,Omada Health（海外
e5a6161e4c469602948942c180eee304,Otolith Labs,Otolith Labs（眩晕治疗设备）
bc3be85ff352e383137e09758e1cf592,PathAI,PathAI（病理AI分析）
52e419fde120947b4407e60679e6d5bf,Posterity Health,Posterity Health（海外
897a6db752a1a3c5010dc5a07cef61a4,Prickly Pear,Prickly Pear（海外
65d20a00fa301c0d35c3040157c30712,Proscia,Proscia（数字病理平台）
3a8896454710363f552ea192d1a1b733,RadNet,RadNet（远程影像）
a67fbac98d6e515e3d9763dbd14a05d8,Razz,Razz（海外
12fa464a36f8e5a187f5acfde99b7029,Recursion,Recursion（AI制药平台）
7bfb5cf7892e55e780484c6313618258,RxMen,RxMen（海外
e290b7cb31ebca37ede84a4eb0f620ae,Schr?dinger,Schr?dinger（计算模拟平台）
d1f710c3d1f6ff1a05697857a7fc148a,Sevaro,Sevaro（远程神经
8c62091d0ca021b8dfc647cb9bda8bf4,Sprinter Health,Sprinter Health（海外
97f3c18e278f544bd60ddcc5cf8d9dc7,Steadiwear,Steadiwear（智能手套用于帕金森氏症）
d522905d0c84badaaa2db0962052aa17,Straub Medical,Straub Medical（外周旋切导管）
3f18d1caabdf43260a22987b72168264,Strive Health,Strive Health（肾科
31b4dd341b0bfd1f0cc303ceaa682f98,Synchron,Synchron（海外）
7f87e336614d02d73e7dd147163a733d,Systole Health,Systole Health（海外
9cf66dae4671b4ad462943b7e37f9170,Teladoc,Teladoc（海外
af52f3500296e93514dad0d4f7bf7eab,Teladoc Health,Teladoc Health（远程医疗平台） | Teladoc Health（远程综合管理平台）
f5ce09db59097c8917f12418eb39cf00,Tempus AI,Tempus AI（数据服务与临床试验匹配）
a0a7e7a36b5f07193fc8caec3ca93c16,Thyme Care,Thyme Care（海外
6da792ceb1b8b2f0479fbc47a4ad0eea,Twentyeight,Twentyeight（海外
888009e49fbf3a3a1e11e747806945fc,U 护,U 护（互联网 + 护理服务）
758f4ee9a3491d40813b06df9aa3ec03,Unmind,Unmind（海外
03cf33c84c86fab3b45a3e29c509e152,Verily,Verily（Onduo糖尿病管理） | Verily（Onduo高血压管理）
40a164bb23f44ac11dfe64bb5e62891d,Visana,Visana（海外
d497bf0eab5880fffb3dd0353190bcc9,WellTheory,WellTheory（自身免疫
9e3f57a734f62f810af2c9e92b42c71d,Welldoc,Welldoc（BlueStar AI慢病管理APP）
e661dcdf827113b2443d42df57ffcd41,Wellgistics Health,Wellgistics Health（医药跨境供应链）
13c430fb0c3d959b3f703823e36bff38,Woebot,Woebot（AI心理咨询）
533209950d2f4a48c09535b2c5510f06,WonderLab,WonderLab（医药电商 B2C - 保健品销售） | WonderLab（医药电商 O2O - 保健品销售）
2a9957911b891a309614ca957b53cb95,Zest Health,Zest Health（皮肤
d3181d71f4a605005af1ba34defa8df7,Zynex Medical,Zynex Medical（疼痛管理及康复可穿戴设备）
47446c56a9024e1b8ac4a5e6d78dda70,e 护在线,e 护在线（互联网 + 护理服务）
0e70d1c53da9c2a79f0d73d3dada43fe,eMed Population Health,eMed Population Health（海外
ad6ad1b8eccbce1e29b960b93195cb72,i 云保,i 云保（保险科技平台
3e179aa1739b5bce0764091c90cbc901,iRhythm,iRhythm（心律监测贴片）
312403e7511b1a0466f5fc96a6aea98f,iRhythm Technologies,iRhythm Technologies（可穿戴心电监测）
d03eb7a58d7e9bbc25291a228a172fbe,一临云,一临云（临床试验数据智能处理） | 一临云（智能化临床研究解决方案）
c4f8b5448d06ddda0f8c634f4d425e48,一心堂,一心堂（医药电商 O2O - 药品销售） | 一心堂（连锁药店 O2O） | 一心堂（连锁药店）
36a61394870813830b9383b9106fc613,一脉阳光,一脉阳光（影像中心）
0d99831f1143961ad35d4c276fbb142c,万东医疗,万东医疗（万里云AI影像平台） | 万东医疗（万里云） | 万东医疗（搭载AI的影像设备） | 万东医疗（远程影像）
4e4779d3c946ba0dc4e878ca2a82a038,万欣和,万欣和（健康险产品
3e80895783c6f8e6b4568b74bf5fdda7,万达信息,万达信息（AI+医疗应用生态） | 万达信息（卫生健康行业生态大模型）
cc1c4b62dffc307c1f23d57ba91389d0,三星,三星（智能手表体温监测）
6c542dfad3e50040a148300d94fe6462,三星财险,三星财险（健康险产品
b0823561f46f6c2121eb995ceb81dea4,三生制药,三生制药（双特异性抗体） | 三生制药（重组蛋白）
3898997ebb08c6affa158f767476437d,三诺生物,三诺生物（CGM） | 三诺生物（SinoGPT慢病管理） | 三诺生物（SinoGPT血糖管理） | 三诺生物（智能终端）
fc7f642cb4e93aa7b78e126d57707ca3,上海存济口腔,上海存济口腔（口腔诊所连锁）
2061c8ce5e616949ce5c0c2efe76586f,上海莱士,上海莱士（凝血因子）
bf28133aa8589df5de866d247daaf0ac,上药集团,上药集团（医药配送）
427bc3d5d752745fbd6e497e23f60b14,上门检测,上门检测）
9ed0a980feeba6ac054fda58a05db190,专科辅诊,专科辅诊）
e80fd816b2cc6545d5d145fb8c2d57dc,东富龙,东富龙（制药装备）
9ee4abbc3709fa89e03b0b2e0163b054,东蔓医疗,东蔓医疗（智能肿瘤辅助决策系统）
238c7ea63c6cd1a2aa3f8225d1db8d73,东软医疗,东软医疗（高端CT）
4bb12ee58f3d2e34ebfc0535168535bf,东软医疗 Neusoft,东软医疗 Neusoft（DSA） | 东软医疗 Neusoft（MR）
267e975723093b45e5eaa2062bc07403,东软集团,东软集团（NeuAI平台） | 东软集团（医保可信数据空间） | 东软集团（医保基金AI智能监管）
