tag_id,domain,level,tag_name,path,parent_tag_id,parent_path,source_sheet,representative_companies,level0,level1,level2,level3,level4
30296e6ef5393a944a68c304a249642f,医疗器械,0,低值医用耗材,低值医用耗材,,,产业标签-医疗器械分类及标签,,低值医用耗材,,,,
bc82a4dd30212c9046ba1f61e0ee00a2,医疗器械,0,医疗器械,医疗器械,,,产业标签-医疗器械分类及标签,,医疗器械,,,,
609503b3cdf2d685cd6a3b048708665a,医疗器械,0,植入器械/材料,植入器械/材料,,,产业标签-医疗器械分类及标签,,植入器械/材料,,,,
61bc89d62667b69f5c7f210390ec900e,医疗器械,0,装备制造,装备制造,,,产业标签-医疗器械分类及标签,,装备制造,,,,
b3c0ee5f0dc5dd5de3efac8d0d99b82d,医疗器械,0,高值医用耗材,高值医用耗材,,,产业标签-医疗器械分类及标签,,高值医用耗材,,,,
ee242bf5397e99c0cce3552e0e621211,医疗器械,1,医用卫生材料,低值医用耗材 / 医用卫生材料,30296e6ef5393a944a68c304a249642f,低值医用耗材,产业标签-医疗器械分类及标签,,低值医用耗材,医用卫生材料,,,
bd5a38ff5f0242aeab054e2e39604794,医疗器械,1,医用高分子制品,低值医用耗材 / 医用高分子制品,30296e6ef5393a944a68c304a249642f,低值医用耗材,产业标签-医疗器械分类及标签,,低值医用耗材,医用高分子制品,,,
ba77c88c930694b26d9b61988690f17f,医疗器械,1,注射穿刺类,低值医用耗材 / 注射穿刺类,30296e6ef5393a944a68c304a249642f,低值医用耗材,产业标签-医疗器械分类及标签,,低值医用耗材,注射穿刺类,,,
4fef7522015f71afb6340b35c8fd08dc,医疗器械,1,体外诊断 (IVD),医疗器械 / 体外诊断 (IVD),bc82a4dd30212c9046ba1f61e0ee00a2,医疗器械,产业标签-医疗器械分类及标签,,医疗器械,体外诊断 (IVD),,,
f31169cd57d72798272775982f109c75,医疗器械,1,家用医疗设备,医疗器械 / 家用医疗设备,bc82a4dd30212c9046ba1f61e0ee00a2,医疗器械,产业标签-医疗器械分类及标签,,医疗器械,家用医疗设备,,,
b6aebeb441109ddba8524ff18d7bee0c,医疗器械,1,康复设备,医疗器械 / 康复设备,bc82a4dd30212c9046ba1f61e0ee00a2,医疗器械,产业标签-医疗器械分类及标签,,医疗器械,康复设备,,,
273821c63287aee6648fb994e7000afb,医疗器械,1,影像设备,医疗器械 / 影像设备,bc82a4dd30212c9046ba1f61e0ee00a2,医疗器械,产业标签-医疗器械分类及标签,,医疗器械,影像设备,,,
595a51fb09d488e273eb956aa5214a98,医疗器械,1,治疗设备,医疗器械 / 治疗设备,bc82a4dd30212c9046ba1f61e0ee00a2,医疗器械,产业标签-医疗器械分类及标签,,医疗器械,治疗设备,,,
823e12ae5fd3cf7c02ab7f72e74fe5c3,医疗器械,1,生命信息支持设备,医疗器械 / 生命信息支持设备,bc82a4dd30212c9046ba1f61e0ee00a2,医疗器械,产业标签-医疗器械分类及标签,,医疗器械,生命信息支持设备,,,
